sex,race,age_group,county,crime_class,relinst,days_court,days_newsent,days_tech,days_other,release_year,release_month
Male,Black,45-54,Cook,Public Order,Dixon,,,,,2020,2020-01-01
Male,Black,45-54,Madison,Person,Graham,,,,,2025,2025-04-01
Male,Black,45-54,Kankakee,Person,Peoria ATC,,,,,2025,2025-12-01
Male,Black,30-34,Vermilion,Public Order,Shawnee,,,,,2025,2025-10-01
Male,White,35-44,Cook,Property,Shawnee,,,,,2025,2025-12-01
Male,White,55-64,Cook,Person,Centralia,,,,,2025,2025-01-01
Male,Black,35-44,Jefferson,Drug,Sheridan,,,,,2025,2025-07-01
Male,White,45-54,Mason,Person,Stateville,,,,,2025,2025-02-01
Male,White,25-29,Whiteside,Person,Western Illinois,,,,,2025,2025-06-01
Male,American Indian,45-54,Kendall,Person,Danville,,,,,2025,2025-08-01
Male,Hispanic,35-44,Cook,Person,Danville,,,,,2025,2025-10-01
Male,Black,20-24,Cook,Public Order,Sheridan,,,,,2025,2025-06-01
Male,White,25-29,McHenry,Drug,Lincoln,,,,,2025,2025-05-01
Male,White,35-44,Mercer,Person,Taylorville,,,,,2025,2025-12-01
Male,White,45-54,Winnebago,Drug,Stateville,,,,,2025,2025-12-01
Male,White,35-44,Boone,Drug,Big Muddy River,,,,,2024,2024-09-01
Male,Black,35-44,Cook,Public Order,Pinckneyville,,,,,2024,2024-07-01
Female,White,45-54,Henry,Public Order,Logan,,,,,2024,2024-08-01
Male,White,35-44,Tazewell,Person,Vienna,,,,,2024,2024-07-01
Male,Black,25-29,Cook,Public Order,Stateville,,,,,2024,2024-10-01
Male,Black,35-44,Champaign,Person,Jacksonville,,,391.0,,2020,2020-03-01
Male,White,35-44,Peoria,Person,Jacksonville,,,406.0,,2024,2024-03-01
Male,Hispanic,25-29,Cook,Person,Dixon,,,755.0,,2023,2023-10-01
Male,White,30-34,Douglas,Drug,Stateville,478.0,,,,2020,2020-04-01
Male,Black,35-44,Macon,Person,Graham,1160.0,,,,2020,2020-02-01
Male,White,20-24,Effingham,Property,Peoria ATC,,,594.0,,2019,2019-12-01
Male,Black,20-24,Cook,Property,Stateville,890.0,,83.0,,2019,2019-07-01
Male,Black,45-54,Cook,Public Order,Stateville,,,58.0,,2019,2019-08-01
Male,White,45-54,McHenry,Person,Stateville,,,459.0,,2019,2019-08-01
